time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
2,1,0,720,12,5.0269e-12,3.0161e-10,3.6193e-09,-2097152,2097152,1.114e+11,1.2892e+11,3.1545e+10,10220,2.7186e+11
2,2,0,780,13,5.0269e-12,3.0161e-10,3.921e-09,-2097152,2097152,1.0955e+11,1.2893e+11,3.4783e+10,8050.5,2.7326e+11
2,3,0,840,14,5.0269e-12,3.0161e-10,4.2226e-09,-2097152,2097152,1.0826e+11,1.2894e+11,3.7066e+10,6199.2,2.7426e+11
2,4,0,900,15,5.0269e-12,3.0161e-10,4.5242e-09,-2097152,2097152,1.0759e+11,1.2894e+11,3.8277e+10,4814.1,2.7481e+11
2,5,0,960,16,5.0269e-12,3.0161e-10,4.8258e-09,-2097152,2097152,1.0749e+11,1.2895e+11,3.8541e+10,4018.6,2.7499e+11
2,6,0,1020,17,5.0269e-12,3.0161e-10,5.1274e-09,-2097152,2097152,1.079e+11,1.2896e+11,3.7927e+10,3832.9,2.7479e+11
2,7,0,1080,18,5.0269e-12,3.0161e-10,5.429e-09,-2097152,2097152,1.0866e+11,1.2897e+11,3.6782e+10,4308.2,2.7441e+11
2,8,0,1140,19,5.0269e-12,3.0161e-10,5.7306e-09,-2097152,2097152,1.0957e+11,1.2898e+11,3.5442e+10,5159.6,2.7399e+11
2,9,0,1200,20,5.0269e-12,3.0161e-10,6.0322e-09,-2097152,2097152,1.1044e+11,1.2899e+11,3.4154e+10,6414.5,2.7358e+11
3,0,0,1260,21,5.0269e-12,3.0161e-10,6.3339e-09,-2097152,2097152,1.1112e+11,1.29e+11,3.3161e+10,7657.8,2.7328e+11
3,1,0,1320,22,5.0269e-12,3.0161e-10,6.6355e-09,-2097152,2097152,1.1153e+11,1.2901e+11,3.2825e+10,8865.5,2.7336e+11
3,2,0,1380,23,5.0269e-12,3.0161e-10,6.9371e-09,-2097152,2097152,1.1166e+11,1.2902e+11,3.2758e+10,9901.4,2.7343e+11
3,3,0,1440,24,5.0269e-12,3.0161e-10,7.2387e-09,-2097152,2097152,1.1157e+11,1.2903e+11,3.3066e+10,10734,2.7367e+11
3,4,0,1500,25,5.0269e-12,3.0161e-10,7.5403e-09,-2097152,2097152,1.1139e+11,1.2904e+11,3.3543e+10,11175,2.7398e+11
3,5,0,1560,26,5.0269e-12,3.0161e-10,7.8419e-09,-2097152,2097152,1.1123e+11,1.2905e+11,3.3893e+10,11216,2.7417e+11
3,6,0,1620,27,5.0269e-12,3.0161e-10,8.1435e-09,-2097152,2097152,1.1116e+11,1.2906e+11,3.4117e+10,10820,2.7434e+11
3,7,0,1680,28,5.0269e-12,3.0161e-10,8.4451e-09,-2097151,2097152,1.1118e+11,1.2907e+11,3.4197e+10,10052,2.7445e+11
3,8,0,1740,29,5.0269e-12,3.0161e-10,8.7468e-09,-2097149,2097152,1.1118e+11,1.2908e+11,3.4389e+10,9101.5,2.7465e+11
3,9,0,1800,30,5.0269e-12,3.0161e-10,9.0484e-09,-2097145,2097152,1.1104e+11,1.2909e+11,3.4867e+10,8041.1,2.75e+11
4,0,0,1860,31,5.0269e-12,3.0161e-10,9.35e-09,-2097137,2097152,1.1059e+11,1.2911e+11,3.5912e+10,7014.3,2.7561e+11
4,1,0,1920,32,5.0269e-12,3.0161e-10,9.6516e-09,-2097118,2097152,1.0974e+11,1.2912e+11,3.754e+10,6094.6,2.764e+11
4,2,0,1980,33,5.0269e-12,3.0161e-10,9.9532e-09,-2097091,2097152,1.085e+11,1.2913e+11,3.9901e+10,5349.6,2.7754e+11
4,3,0,2040,34,5.0269e-12,3.0161e-10,1.0255e-08,-2097043,2097152,1.0698e+11,1.2915e+11,4.2688e+10,4824.6,2.7882e+11
4,4,0,2100,35,5.0269e-12,3.0161e-10,1.0556e-08,-2096987,2097152,1.0538e+11,1.2917e+11,4.5544e+10,4564.4,2.8009e+11
4,5,0,2160,36,5.0269e-12,3.0161e-10,1.0858e-08,-2096919,2097152,1.039e+11,1.2919e+11,4.808e+10,4444.7,2.8117e+11
4,6,0,2220,37,5.0269e-12,3.0161e-10,1.116e-08,-2096813,2097152,1.0279e+11,1.2921e+11,4.9958e+10,4476.2,2.8196e+11
4,7,0,2280,38,5.0269e-12,3.0161e-10,1.1461e-08,-2096672,2097152,1.0219e+11,1.2923e+11,5.0914e+10,4589.6,2.8233e+11
4,8,0,2340,39,5.0269e-12,3.0161e-10,1.1763e-08,-2096488,2097152,1.0217e+11,1.2925e+11,5.0933e+10,4743.5,2.8236e+11
4,9,0,2400,40,5.0269e-12,3.0161e-10,1.2064e-08,-2096253,2097152,1.0271e+11,1.2927e+11,5.0035e+10,4887.9,2.8202e+11
5,0,0,2460,41,5.0269e-12,3.0161e-10,1.2366e-08,-2095956,2097152,1.0369e+11,1.293e+11,4.8509e+10,5044.5,2.8149e+11
5,1,0,2520,42,5.0269e-12,3.0161e-10,1.2668e-08,-2095586,2097152,1.0493e+11,1.2932e+11,4.6343e+10,5193.1,2.8059e+11
5,2,0,2580,43,5.0269e-12,3.0161e-10,1.2969e-08,-2095154,2097152,1.0629e+11,1.2935e+11,4.4249e+10,5370,2.7988e+11
5,3,0,2640,44,5.0269e-12,3.0161e-10,1.3271e-08,-2094658,2097152,1.0762e+11,1.2937e+11,4.1999e+10,5612.6,2.7899e+11
5,4,0,2700,45,5.0269e-12,3.0161e-10,1.3573e-08,-2094074,2097152,1.0889e+11,1.2939e+11,3.9917e+10,5832,2.782e+11
5,5,0,2760,46,5.0269e-12,3.0161e-10,1.3874e-08,-2093403,2097152,1.1008e+11,1.2941e+11,3.7765e+10,6000.5,2.7726e+11
5,6,0,2820,47,5.0269e-12,3.0161e-10,1.4176e-08,-2092625,2097152,1.1123e+11,1.2943e+11,3.5747e+10,6116,2.7641e+11
5,7,0,2880,48,5.0269e-12,3.0161e-10,1.4477e-08,-2091772,2097152,1.1236e+11,1.2945e+11,3.3734e+10,6268.6,2.7554e+11
5,8,0,2940,49,5.0269e-12,3.0161e-10,1.4779e-08,-2090861,2097152,1.1341e+11,1.2946e+11,3.186e+10,6259.8,2.7473e+11
5,9,0,3000,50,5.0269e-12,3.0161e-10,1.5081e-08,-2089874,2097152,1.1425e+11,1.2948e+11,3.0363e+10,6221.6,2.7409e+11
6,0,0,3060,51,5.0269e-12,3.0161e-10,1.5382e-08,-2088846,2097152,1.1483e+11,1.2949e+11,2.9186e+10,6182.6,2.7351e+11
6,1,0,3120,52,5.0269e-12,3.0161e-10,1.5684e-08,-2087657,2097152,1.1503e+11,1.2951e+11,2.8781e+10,6046.1,2.7332e+11
6,2,0,3180,53,5.0269e-12,3.0161e-10,1.5985e-08,-2086302,2097152,1.1485e+11,1.2952e+11,2.9092e+10,5910.2,2.7346e+11
6,3,0,3240,54,5.0269e-12,3.0161e-10,1.6287e-08,-2084845,2097152,1.1431e+11,1.2954e+11,2.9819e+10,5641.5,2.7366e+11
6,4,0,3300,55,5.0269e-12,3.0161e-10,1.6589e-08,-2083333,2097152,1.1345e+11,1.2955e+11,3.1032e+10,5522.1,2.7403e+11
6,5,0,3360,56,5.0269e-12,3.0161e-10,1.689e-08,-2081726,2097152,1.1235e+11,1.2957e+11,3.2627e+10,5453,2.7455e+11
6,6,0,3420,57,5.0269e-12,3.0161e-10,1.7192e-08,-2080041,2097152,1.1107e+11,1.2959e+11,3.44e+10,5528,2.7506e+11
6,7,0,3480,58,5.0269e-12,3.0161e-10,1.7494e-08,-2078300,2097152,1.0972e+11,1.2961e+11,3.6306e+10,5728.6,2.7564e+11
6,8,0,3540,59,5.0269e-12,3.0161e-10,1.7795e-08,-2076555,2097152,1.0837e+11,1.2964e+11,3.82e+10,6002,2.762e+11
6,9,0,3600,60,5.0269e-12,3.0161e-10,1.8097e-08,-2074759,2097152,1.0704e+11,1.2966e+11,4.002e+10,6281.4,2.7672e+11
7,0,0,3660,61,5.0269e-12,3.0161e-10,1.8398e-08,-2072876,2097152,1.0578e+11,1.2969e+11,4.1744e+10,6636.9,2.7722e+11
7,1,0,3720,62,5.0269e-12,3.0161e-10,1.87e-08,-2070985,2097152,1.0464e+11,1.2972e+11,4.3319e+10,6742.2,2.7768e+11
7,2,0,3780,63,5.0269e-12,3.0161e-10,1.9002e-08,-2068988,2097152,1.0365e+11,1.2976e+11,4.4564e+10,6888.9,2.7797e+11
7,3,0,3840,64,5.0269e-12,3.0161e-10,1.9303e-08,-2066959,2097152,1.0291e+11,1.2979e+11,4.5371e+10,6947.6,2.7807e+11
7,4,0,3900,65,5.0269e-12,3.0161e-10,1.9605e-08,-2064977,2097152,1.0248e+11,1.2982e+11,4.5743e+10,6831.5,2.7804e+11
7,5,0,3960,66,5.0269e-12,3.0161e-10,1.9906e-08,-2062995,2097152,1.0239e+11,1.2986e+11,4.5491e+10,6579.1,2.7774e+11
7,6,0,4020,67,5.0269e-12,3.0161e-10,2.0208e-08,-2060932,2097152,1.0265e+11,1.2989e+11,4.4706e+10,6306.6,2.7725e+11
7,7,0,4080,68,5.0269e-12,3.0161e-10,2.051e-08,-2058913,2097152,1.032e+11,1.2992e+11,4.3455e+10,5969.8,2.7658e+11
7,8,0,4140,69,5.0269e-12,3.0161e-10,2.0811e-08,-2056758,2097152,1.0388e+11,1.2996e+11,4.2069e+10,5676,2.7591e+11
7,9,0,4200,70,5.0269e-12,3.0161e-10,2.1113e-08,-2054732,2097152,1.0458e+11,1.2999e+11,4.0631e+10,5413,2.752e+11
8,0,0,4260,71,5.0269e-12,3.0161e-10,2.1414e-08,-2052621,2097152,1.0511e+11,1.3002e+11,3.9623e+10,5151,2.7476e+11
8,1,0,4320,72,5.0269e-12,3.0161e-10,2.1716e-08,-2050567,2097152,1.0541e+11,1.3005e+11,3.877e+10,5095.2,2.7423e+11
8,2,0,4380,73,5.0269e-12,3.0161e-10,2.2018e-08,-2048531,2097152,1.0545e+11,1.3008e+11,3.8422e+10,5082.5,2.7395e+11
8,3,0,4440,74,5.0269e-12,3.0161e-10,2.2319e-08,-2046496,2097152,1.0524e+11,1.3011e+11,3.848e+10,5152.5,2.7382e+11
8,4,0,4500,75,5.0269e-12,3.0161e-10,2.2621e-08,-2044400,2097152,1.0483e+11,1.3013e+11,3.8812e+10,5387.2,2.7378e+11
